Date,Name,Year,Letterboxd URI
2022-03-02,The Lego Batman Movie,2017,https://boxd.it/azp0
2022-03-02,The Batman,2022,https://boxd.it/eDGs
2022-03-03,Destino,2003,https://boxd.it/1cMM
2022-03-05,Concerning Violence,2014,https://boxd.it/7luu
2022-03-05,Affairs of the Art,2021,https://boxd.it/rSbU
2022-03-06,Capital in the Twenty-First Century,2019,https://boxd.it/mfK2
2022-03-06,Over the Garden Wall,2014,https://boxd.it/eqFw
2022-03-07,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo
2022-03-13,Tolkien,2019,https://boxd.it/gM4G
2022-03-25,The Hour of the Furnaces,1968,https://boxd.it/3a1S
2022-03-25,People Like Us: Social Class in America,2001,https://boxd.it/850A
2022-03-26,Caché,2005,https://boxd.it/2amY
2022-03-29,CODA,2021,https://boxd.it/tbf4
2022-03-29,The Empire Strikes Back,1980,https://boxd.it/27Vw
2022-04-01,Return of the Jedi,1983,https://boxd.it/27Vm
2022-04-09,Starship Troopers,1997,https://boxd.it/2a7k
2022-04-11,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2022-04-13,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2022-04-13,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2022-04-13,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2022-04-13,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2022-04-13,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2022-04-13,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2022-04-17,Benedetta,2021,https://boxd.it/gdNQ
2022-04-17,Five Broken Cameras,2011,https://boxd.it/2XF6
2022-04-17,Turning Red,2022,https://boxd.it/ipkq
2022-04-18,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu
2022-04-18,The Goonies,1985,https://boxd.it/1YVC
2022-04-18,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8
2022-04-18,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-04-18,Kung Fu Panda 2,2011,https://boxd.it/G36
